,text,polarity,favourite_count,retweet_count,created_at,compound,neg,neu,pos,sentiment
64,"The craic between @Tommedian and Bush Shield is great, like old drinking buddies ",positive,3,0,2022-02-12 22:55:03+00:00,0.765,0,0.645,0.355,Positive
65,"Tommy was 8 years on the Dole
 TommyTiernan",neutral,0,0,2022-02-12 22:55:03+00:00,0,0,1,0,Neutral
66,I worked several nights in a row at Brush Shields shows a few years ago. He was always sound &amp; good craic.  On the last night he was calling me his number 1 fan who kept working for fear I'd miss his show 🤣 Some man &amp; a great performer ,positive,19,0,2022-02-12 22:53:51+00:00,0.8402,0.072,0.721,0.207,Positive
67,"Brush is amazing. Great sense of humour, wonderful joy for life, tremendous positivity. A certain kind of genius. ",positive,34,0,2022-02-12 22:53:41+00:00,0.9763,0,0.329,0.671,Positive
68,Fair play to Brush Shield ,positive,3,0,2022-02-12 22:53:38+00:00,0.5719,0,0.46,0.54,Positive
69,"If you went for a pint with Brush, you’d be about 6 pints down by the time he finishes his first because he can’t stop talking  ",neutral,4,0,2022-02-12 22:53:22+00:00,-0.296,0.078,0.922,0,Negative
70,Brush Shiels on  ://t.co/vj8axOmOxw,neutral,3,0,2022-02-12 22:53:01+00:00,0,0,1,0,Neutral
71,Loved Charlene on .How easily she speaks about her therapist ..very refreshing. Very funny talented lady.,positive,16,1,2022-02-12 22:52:53+00:00,0.9237,0,0.474,0.526,Positive
72, a decent aul skin describes Brush to a tee,positive,7,1,2022-02-12 22:52:16+00:00,0,0,1,0,Neutral
73,Imagine in the green room with Charlene and Brush. You wouldn't get a word in. ,neutral,4,0,2022-02-12 22:52:15+00:00,0,0,1,0,Neutral
74,Brush is daft! 😂😂 ,negative,1,0,2022-02-12 22:51:56+00:00,0.7263,0.175,0.461,0.364,Positive
75,Your ma must be a miraculous said brush 😒,neutral,0,0,2022-02-12 22:51:52+00:00,0,0,1,0,Neutral
76,Brush shields is 76!! looks fantastic for his age ,positive,8,0,2022-02-12 22:51:26+00:00,0.6351,0,0.683,0.317,Positive
77,"Brush Shields 🤣 what a character, he’s off his game and he loves it. ",positive,4,0,2022-02-12 22:51:22+00:00,0.7845,0,0.711,0.289,Positive
78, Brush's mantra daft as a brush but so likeable Legend @Tommedian,positive,3,0,2022-02-12 22:51:13+00:00,0.743,0,0.675,0.325,Positive
79, well then went downhill fast 😴😴😴,negative,0,0,2022-02-12 22:50:56+00:00,0.2732,0,0.84,0.16,Positive
80,this man is going to turn us all into jedis ,neutral,1,0,2022-02-12 22:50:46+00:00,0,0,1,0,Neutral
81,"Brush Shiels gives @Tommedian a lesson in incantation.

 ://t.co/Cg9PF2sGHT",neutral,169,14,2022-02-12 22:50:06+00:00,0,0,1,0,Neutral
82,"Same jacket n hat 

Wa

 ://t.co/ktja6iWDcc",neutral,22,0,2022-02-12 22:50:02+00:00,0,0,1,0,Neutral
83,Why is there a fella talking bollix on rte now  ,negative,2,0,2022-02-12 22:49:56+00:00,0,0,1,0,Neutral
84," brush is deadly 
 Thank god it’s not bp Fallon instant tv off switch",positive,3,0,2022-02-12 22:49:53+00:00,0.5574,0,0.723,0.277,Positive
85,Do people listen to you?? 😅😅 brushsheils ,negative,3,0,2022-02-12 22:49:53+00:00,0.6553,0,0.708,0.292,Positive
86,"Would be glad to be as good as he is if I get anywhere near 76
 TommyTiernan",positive,4,0,2022-02-12 22:49:50+00:00,0.7096,0,0.731,0.269,Positive
87,Brush Shields “Life….completed it mate” mofo can do everything  ,positive,4,0,2022-02-12 22:49:50+00:00,-0.5267,0.274,0.726,0,Negative
88, any sign of Betty ://t.co/0G65tXaltJ,neutral,3,0,2022-02-12 22:49:46+00:00,0,0,1,0,Neutral
89,"Brush isnt a bit mad, hes totally eccentric ",positive,7,0,2022-02-12 22:49:43+00:00,0.3875,0,0.753,0.247,Positive
90,Can we bring on the dancing priest  ,neutral,1,0,2022-02-12 22:49:28+00:00,0,0,1,0,Neutral
91,"Ah Brush Shiels of Skid Row, I hope we get a few bars of ""18 and life"" ",neutral,2,0,2022-02-12 22:49:22+00:00,0.4404,0,0.854,0.146,Positive
92,Another all time fav Brushshields. Cannot believe he is 76 😲,positive,1,0,2022-02-12 22:49:16+00:00,0.6808,0,0.641,0.359,Positive
93,The longest alphabet in the world 🤣,neutral,1,0,2022-02-12 22:49:08+00:00,0,0,1,0,Neutral
94,"
Now this total knob … 
As meatloaf said etc etc
",negative,6,0,2022-02-12 22:48:52+00:00,0,0,1,0,Neutral
95,Gwan Brush ! You shallow breathing legend  ,positive,7,0,2022-02-12 22:48:45+00:00,0,0,1,0,Neutral
96,Oh dear me..... ,negative,4,0,2022-02-12 22:48:31+00:00,0.3818,0,0.536,0.464,Positive
97,"Last week's guests and life stories probably won't be beaten on this series
 tommytiernan",positive,1,0,2022-02-12 22:48:20+00:00,0.3252,0,0.857,0.143,Positive
98,Brush Sheils is fucking great. That is all. ,positive,18,1,2022-02-12 22:48:09+00:00,0.659,0,0.646,0.354,Positive
99,"Brush shields hasn't changed a bit , 76? ",neutral,7,1,2022-02-12 22:47:47+00:00,0,0,1,0,Neutral
100,"charlenemckenna on the   is brilliant @RTEOne. @Tommedian Cé thú fhéin, who are ya? Byre, gosh I haven't that word in decades. Parents were right 'come home' - for some people it is the place where you can be truly yourself. I love the May morning due. ://t.co/Jr6TUWMppL",positive,27,0,2022-02-12 22:46:44+00:00,0.8979,0,0.805,0.195,Positive
101,Brush Shiels you look fuckin fantastic. 76.. fuckin hell ,positive,10,0,2022-02-12 22:46:43+00:00,-0.25,0.291,0.477,0.232,Negative
102,"I’ve run out of superlatives for this show. A must watch every week. Tommy a great listener, and Jimmy White, and Charlene McKenna wonderful guests 👏👏👏 ",positive,18,1,2022-02-12 22:46:42+00:00,0.8316,0,0.794,0.206,Positive
103,"Jimmy White was my childhood sporting hero, all the way back to the early 80’s. An incredibly absorbing and personal interview on  . Class lads.",positive,79,0,2022-02-12 22:46:42+00:00,0.5574,0,0.874,0.126,Positive
104,"Another week to wait and see if it's gonna be Roy Keane that's on, living in hope ",neutral,10,0,2022-02-12 22:46:28+00:00,0.4404,0,0.854,0.146,Positive
105,Charlene was brilliant as JoJo in raw ,positive,5,0,2022-02-12 22:46:28+00:00,0.5859,0,0.648,0.352,Positive
106,Loved Charlene McKenna interview  fabulous actress &amp; ‘mad as a box of frogs’ 😃 v cool 😎 honest &amp; funny,positive,11,0,2022-02-12 22:46:27+00:00,0.9652,0,0.496,0.504,Positive
107,"Dee wants us to pay for Dermot Bannon and his weekly  appearances?
tommytiernan  ",neutral,0,0,2022-02-12 22:45:32+00:00,-0.1027,0.085,0.915,0,Negative
108,I'd say the producer of  gets very few rejections when they ask guests to come on,neutral,23,0,2022-02-12 22:45:22+00:00,-0.5233,0.174,0.826,0,Negative
109,"Brush!!! 

",neutral,2,0,2022-02-12 22:45:14+00:00,0,0,1,0,Neutral
110,"Brush Shiels is 76 

Lawd above ",neutral,5,0,2022-02-12 22:45:08+00:00,0,0,1,0,Neutral
111,"There's no doubt @Tommedian can really do an insightful interview because he’s actually interested in the person he chats to. As much as I'd love to see him host The Late Late Show, really think it would be a waste of his talent as a master storyteller.... ",positive,2,0,2022-02-12 22:45:07+00:00,0.8406,0.049,0.746,0.205,Positive
112,I was expecting Brooke Shields to come out there 🙈🙈 ,neutral,8,1,2022-02-12 22:44:26+00:00,0,0,1,0,Neutral
113,Brush Shields!!! This man is such a legend. ,positive,27,0,2022-02-12 22:44:19+00:00,0,0,1,0,Neutral
114,"His teeth can't be 76 too?
 tommytiernan",neutral,1,0,2022-02-12 22:44:10+00:00,0,0,1,0,Neutral
115,Brush hasn't changed a bit in 50 years ,positive,5,0,2022-02-12 22:44:06+00:00,0,0,1,0,Neutral
116,"So many saying Charlene Mc Kenna drunk or stoned? Don't see why.
",negative,6,0,2022-02-12 22:44:01+00:00,-0.34,0.167,0.833,0,Negative
117,"Finally chatting to @Tommedian tonight is musician Brush Shiels.

 ://t.co/nd2lsYsrAa",neutral,35,2,2022-02-12 22:43:46+00:00,0,0,1,0,Neutral
118,The moment @CookeFred said Brush Shields I knew he'd come out dressed the same as ,neutral,4,0,2022-02-12 22:43:41+00:00,0,0,1,0,Neutral
119, has brush broken the land speed record yet,neutral,3,0,2022-02-12 22:43:32+00:00,-0.4767,0.279,0.721,0,Negative
120,"Often feel like asking the anonymous tweeters here ""but who are yeh?"" ",negative,6,0,2022-02-12 22:43:32+00:00,0.1901,0,0.873,0.127,Positive
121,"Jazus .. he didn’t age a day , to be fair...... ",neutral,1,0,2022-02-12 22:43:29+00:00,0.3182,0,0.827,0.173,Positive
122,Thisll b craic brushsheils ,neutral,1,0,2022-02-12 22:43:10+00:00,0,0,1,0,Neutral
123,I want to hang out with Charlene McKenna ,positive,4,0,2022-02-12 22:43:09+00:00,0.0772,0,0.86,0.14,Positive
124,The Monaghan accent really is something 😂 great interview by Charlene McKenna though  ,positive,5,0,2022-02-12 22:42:57+00:00,0.7906,0.077,0.605,0.319,Positive
125,"This was brilliant,what a great description of anxiety...because Charlene has shared her experience she has just helped so many people who might not even know what their symptoms were.Amazing actress and really real person.👏  ://t.co/7WvnqICTHX",positive,53,3,2022-02-12 22:42:23+00:00,0.7579,0,0.847,0.153,Positive
126," Good woman Charlene the Green room wine got a good kicking tonight, great interview charlenemckenna",positive,6,0,2022-02-12 22:41:16+00:00,0.872,0,0.568,0.432,Positive
127,Ah the  is just necessary Tele. Engrossed!,positive,5,1,2022-02-12 22:40:54+00:00,0.2244,0,0.787,0.213,Positive
128,I could have listened to her all night  ://t.co/38v2BW8fyn,positive,53,0,2022-02-12 22:40:54+00:00,0,0,1,0,Neutral
129,"Charlene McKenna seeing her interview for the first time tonight because she can't remember doing it.. 
She was pissed ",negative,5,0,2022-02-12 22:39:44+00:00,-0.6369,0.181,0.819,0,Negative
130,That was a really good interview. Very raw (pardon the pun!). The kind of interview that gets your attention to the point you could hear a pin drop. Fascinating. 👏🏼  charlenemckenna,positive,20,0,2022-02-12 22:39:43+00:00,0.8158,0.048,0.733,0.219,Positive
131,Charlene McKenna was lovely in  great craic &amp; talk a lot of sense,positive,36,1,2022-02-12 22:39:26+00:00,0.836,0,0.603,0.397,Positive
132," It is funny when Irish sports men talk about mental health the Irish attitude if ""fair play to them aren't they great lads"", but if an Irish artist talks about the exact same topic the attitude is ""who is this mad yoke, what are they on about"".",negative,75,3,2022-02-12 22:38:37+00:00,-0.6088,0.131,0.774,0.095,Negative
133,Just love Charlene McKenna. Pure genuine craic Monaghan woman. And a great actress. ,positive,59,2,2022-02-12 22:38:23+00:00,0.8519,0,0.591,0.409,Positive
134,Totally different  interview to what we’ve seen before charlenemckenna ,neutral,6,0,2022-02-12 22:38:06+00:00,0,0,1,0,Neutral
135,could men do with being told that we're loved more often? ,neutral,1,0,2022-02-12 22:37:58+00:00,0.5994,0,0.738,0.262,Positive
136,What’s your interior life? ,neutral,5,0,2022-02-12 22:37:58+00:00,0,0,1,0,Neutral
137,Watching Charlene McKenna on the  and she’s just fierce likeable. “There’s tablets for that” 😂,positive,21,0,2022-02-12 22:37:41+00:00,0.7096,0.074,0.661,0.265,Positive
138,"Oops, Charlene McKenna, not Chloe... Got her name wrong 😳  gotta keep off the ditches.. 😂",neutral,0,0,2022-02-12 22:37:13+00:00,-0.0516,0.18,0.683,0.137,Negative
139,Charlene McKenna is an incredibly awesome soul. What an entertaining interview. ,positive,44,1,2022-02-12 22:36:33+00:00,0.807,0,0.578,0.422,Positive
140,Who are ye ??? 😅😅😅 ,neutral,19,1,2022-02-12 22:36:24+00:00,0.7929,0,0.635,0.365,Positive
141,"This is said all the time, I could watch the  all night. He is so great with people.",positive,9,0,2022-02-12 22:36:19+00:00,0.7384,0,0.774,0.226,Positive
142,Never normally watch the  but I have to say this Charlene McKenna interview is incredible,positive,32,0,2022-02-12 22:36:12+00:00,0,0,1,0,Neutral
143,"Great to see one of my top all time sporting heroes @jimmywhite147 on   tonight and looking so well 👌 
Made my day",positive,9,1,2022-02-12 22:36:10+00:00,0.956,0,0.492,0.508,Positive
144," 
Having that fine person, her experiences and life-lessons on the School Curriculum, instead of half the shite they're filling young Irish heads with, would be a service to the nation.",negative,2,0,2022-02-12 22:36:08+00:00,0.2023,0,0.943,0.057,Positive
145,"I'm sure if I'd had as much drink as Charlene McKenna, this would seem like a great interview 😁 ",neutral,9,0,2022-02-12 22:36:05+00:00,0.8979,0,0.627,0.373,Positive
146,One thing I learned from living in Monaghan was the brilliant use of the word dose and I think it’s appropriate now... ,negative,8,0,2022-02-12 22:35:59+00:00,0.5859,0,0.853,0.147,Positive
147,"Love Charlene McKenna ""it took out"", so Monaghan 😂 ",positive,13,0,2022-02-12 22:35:47+00:00,0.7964,0.091,0.526,0.383,Positive
148,First time I've wanted to switch over from this show  . Suppose we can't blame Tommy.. he didn't know who was coming at him 🙄,negative,5,0,2022-02-12 22:35:44+00:00,0.2584,0,0.932,0.068,Positive
149,She's a bit like a young Mrs Doyle ,neutral,1,0,2022-02-12 22:35:09+00:00,0.3612,0,0.762,0.238,Positive
150,What the fuck is that one Charlene talking about. It makes no sense  ,negative,8,0,2022-02-12 22:35:06+00:00,-0.6908,0.322,0.678,0,Negative
151,The ease with which Jimmy White and Tommy Tiernan chatted was just superb. As natural and organic an interview as you'll see. Really enjoyed it. The best programme on RTE by far. ,positive,29,1,2022-02-12 22:34:49+00:00,0.9509,0,0.624,0.376,Positive
152, is she in character?,neutral,4,0,2022-02-12 22:34:34+00:00,0,0,1,0,Neutral
153,"Sun, rain, thunder, hailstones, hay...what!
 ://t.co/parWXyKCEu",neutral,7,1,2022-02-12 22:34:12+00:00,0,0,1,0,Neutral
154,"@Tommedian, Darragh and Benji  ://t.co/9uDPKIpCym",neutral,6,0,2022-02-12 22:33:54+00:00,0,0,1,0,Neutral
155, I think its only us Irish will get all this weather reference's and analogies obsessed with the weather we are.  Its raining tomorrow lads just to let ya know.,neutral,2,0,2022-02-12 22:33:53+00:00,-0.1779,0.055,0.945,0,Negative
156, charlene..do u like hanging out with yourself??! @CookeFred an awful lot of hay lol,positive,3,0,2022-02-12 22:33:13+00:00,0.4501,0.143,0.573,0.284,Positive
157,An extraordinary interview with the extraordinary Jimmy White bringing back waves of 80s nostalgia ,positive,6,0,2022-02-12 22:33:00+00:00,0,0,1,0,Neutral
158,"Just wondering,  did Tommy always have that big Claddagh ring or is it since he interviewed Gabriel Byrne? Only seeing it now ",neutral,8,0,2022-02-12 22:32:59+00:00,0,0,1,0,Neutral
159,Wow Charlene McJenna Steamboats ,positive,1,0,2022-02-12 22:32:54+00:00,0.5859,0,0.513,0.487,Positive
160, Imagine the fear tomorrow when she wakes up and realises the show she's after making of herself being pissed/high on live tv,negative,7,0,2022-02-12 22:32:35+00:00,-0.4939,0.127,0.873,0,Negative
161,This conversation would make a lot more sense to me if I had 10 pints of Guinness on board. ,negative,3,0,2022-02-12 22:31:59+00:00,0,0,1,0,Neutral
162,"Am I watchin the weather forecast? Thunder, rain, lightnin, dew (that'd be from Tullamore tonight for sure!)  ",neutral,3,0,2022-02-12 22:31:58+00:00,0.3802,0,0.868,0.132,Positive
163,Did Charlene have a few scoops before the show ,neutral,4,0,2022-02-12 22:31:53+00:00,0,0,1,0,Neutral
164," 
I'm straining to understand this interview ://t.co/EIDnukpKeK",neutral,7,0,2022-02-12 22:31:51+00:00,-0.3182,0.247,0.753,0,Negative
165,That was a really great  tonight,positive,0,0,2022-02-05 23:16:20+00:00,0.659,0,0.577,0.423,Positive
166,@pkelly1920 @Tommedian Beautiful ❤️…heard similar recently “a calm sea never made a skilled sailor”  so true. Love how he just holds space ,positive,8,1,2022-02-05 23:13:21+00:00,0.936,0,0.583,0.417,Positive
167,"Does other people talking about their mental health help how I'm feeling? 🤔

When other people talk about or have back pain does it change my back pain? 

After the last 2 yrs people don't seem to notice if you are dead or alive. 

 TommyTiernan",negative,1,0,2022-02-05 23:12:31+00:00,-0.755,0.191,0.694,0.115,Negative
168,@kathysheridanIT @anningle @roisiningle @rte Ah lads! It was brilliant! ,positive,3,0,2022-02-05 23:12:20+00:00,0.658,0,0.672,0.328,Positive
169,The show is fine nothing more than that. ,neutral,3,0,2022-02-05 23:08:37+00:00,0.2023,0,0.816,0.184,Positive
170,"@roisiningle your mother is great craic,what a character! Lovely to get to know u better too! ",neutral,1,0,2022-02-05 23:08:35+00:00,0.9078,0,0.552,0.448,Positive
171, Omg what lovely people Roisin and her mam . What an amazing quote                            I don’t look down on rich people any more !       I love it 🤣🤣🤣❤️,positive,3,0,2022-02-05 23:05:57+00:00,0.9789,0,0.591,0.409,Positive
172,"Songwriters like Neil Hannon are the reason I tell my grandchildren to enjoy music but also listen to the lyrics of songs and use their discretion to separate the real talent from the boom-boom rubbish. Great song, Neil. Great show, Tommy ",positive,12,0,2022-02-05 23:05:36+00:00,0.9631,0,0.662,0.338,Positive
173,Ive seen Brent Pope speak before what a ledge ,positive,0,0,2022-02-05 23:05:22+00:00,0,0,1,0,Neutral
174,If you or someone you know has NOT been affected by the issues raised on the  .....your bloody lucky,negative,3,0,2022-02-05 23:02:21+00:00,0.0885,0.12,0.704,0.176,Positive
175,Neil Hannon - what a man  ,positive,2,1,2022-02-05 23:02:15+00:00,0,0,1,0,Neutral
