,text,polarity,favourite_count,retweet_count,created_at
51,If you enjoyed the #TommyTiernanShow tonight don't forget to check out Tommy with Hector &amp; Laurita on the THL Podcast every Monday and Thursday! https://t.co/SZpLFtLQJg https://t.co/ZxOlaTJbTr,neutral,15,1,2022-02-12 22:57:51+00:00
52,"The #TommyTiernanShow is such an exercise in empathy. Revealing the stories behind the people we think we know elicits such understanding and compassion. 
Best show on TV",positive,41,1,2022-02-12 22:57:50+00:00
53,"Isnt Brush just brilliant! If we had his type of attitude &amp; outlook on life, we wouldnt be half as bad! #TommyTiernanShow",positive,21,0,2022-02-12 22:57:18+00:00
54,"Not the interview I was expecting with Brush Shiels - but how fascinating and inspiring! After Jimmy W and Charlene McK, this must be one of the best episodes of all #TommyTiernanShow... pure gold",positive,39,2,2022-02-12 22:57:05+00:00
55,"She was very honest #TommyTiernanShow

https://t.co/BxE5V1LMZu",neutral,7,0,2022-02-12 22:56:47+00:00
56,A dose 🙄 #TommyTiernanShow,negative,2,0,2022-02-12 22:56:24+00:00
57,"@Tommedian ah jaysus, it was going well until rte darling showed up #TommyTiernanShow",negative,2,0,2022-02-12 22:56:19+00:00
58,"""You need a lot of confidence to be humble.. "" Brush Shiels...

#TommyTiernanShow",neutral,18,1,2022-02-12 22:56:06+00:00
59,Brush is a gas ticket. A breath of fresh air. #TommyTiernanShow,positive,52,0,2022-02-12 22:56:02+00:00
60,"Tommy to Brush....""have ya ever been examined"". Tommy always asks the questions everyone is thinking!
#TommyTiernanShow",neutral,20,0,2022-02-12 22:55:39+00:00
61,"'You need a lot of confidence to be humble.'   Brush Shields quote on #TommyTiernanShow 
#confidence 
#humility",neutral,13,0,2022-02-12 22:55:30+00:00
62,"""I don't have an ego problem, I know I am great""
🤣🤣🤣
#Brushshiels 

#TommyTiernanShow",positive,18,0,2022-02-12 22:55:27+00:00
63,Have you ever been examined #TommyTiernanShow,neutral,4,0,2022-02-12 22:55:04+00:00
64,"The craic between @Tommedian and Bush Shield is great, like old drinking buddies #TommyTiernanShow",positive,3,0,2022-02-12 22:55:03+00:00
65,"Tommy was 8 years on the Dole
#TommyTiernanShow #TommyTiernan",neutral,0,0,2022-02-12 22:55:03+00:00
66,I worked several nights in a row at Brush Shields shows a few years ago. He was always sound &amp; good craic.  On the last night he was calling me his number 1 fan who kept working for fear I'd miss his show 🤣 Some man &amp; a great performer #TommyTiernanShow,positive,19,0,2022-02-12 22:53:51+00:00
67,"Brush is amazing. Great sense of humour, wonderful joy for life, tremendous positivity. A certain kind of genius. #TommyTiernanShow",positive,34,0,2022-02-12 22:53:41+00:00
68,Fair play to Brush Shield #tommytiernanshow,positive,3,0,2022-02-12 22:53:38+00:00
69,"If you went for a pint with Brush, you’d be about 6 pints down by the time he finishes his first because he can’t stop talking  #TommyTiernanShow",neutral,4,0,2022-02-12 22:53:22+00:00
70,Brush Shiels on #TommyTiernanShow https://t.co/vj8axOmOxw,neutral,3,0,2022-02-12 22:53:01+00:00
71,Loved Charlene on #TommyTiernanShow.How easily she speaks about her therapist ..very refreshing. Very funny talented lady.,positive,16,1,2022-02-12 22:52:53+00:00
72,#TommyTiernanShow a decent aul skin describes Brush to a tee,positive,7,1,2022-02-12 22:52:16+00:00
73,Imagine in the green room with Charlene and Brush. You wouldn't get a word in. #TommyTiernanShow,neutral,4,0,2022-02-12 22:52:15+00:00
74,Brush is daft! 😂😂 #TommyTiernanShow,negative,1,0,2022-02-12 22:51:56+00:00
75,Your ma must be a miraculous said brush 😒#TommyTiernanShow,neutral,0,0,2022-02-12 22:51:52+00:00
76,Brush shields is 76!! looks fantastic for his age #TommyTiernanShow,positive,8,0,2022-02-12 22:51:26+00:00
77,"Brush Shields 🤣 what a character, he’s off his game and he loves it. #TommyTiernanShow",positive,4,0,2022-02-12 22:51:22+00:00
78,#TommyTiernanShow Brush's mantra daft as a brush but so likeable #Legend @Tommedian,positive,3,0,2022-02-12 22:51:13+00:00
79,#TommyTiernanShow well then went downhill fast 😴😴😴,negative,0,0,2022-02-12 22:50:56+00:00
80,this man is going to turn us all into jedis #TommyTiernanShow,neutral,1,0,2022-02-12 22:50:46+00:00
81,"Brush Shiels gives @Tommedian a lesson in incantation.

#TommyTiernanShow https://t.co/Cg9PF2sGHT",neutral,169,14,2022-02-12 22:50:06+00:00
82,"Same jacket n hat 

Wa

#TommyTiernanShow https://t.co/ktja6iWDcc",neutral,22,0,2022-02-12 22:50:02+00:00
83,Why is there a fella talking bollix on rte now  #TommyTiernanShow,negative,2,0,2022-02-12 22:49:56+00:00
84,"#TommyTiernanShow brush is deadly 
 Thank god it’s not bp Fallon instant tv off switch",positive,3,0,2022-02-12 22:49:53+00:00
85,Do people listen to you?? 😅😅 #brushsheils #TommyTiernanShow,negative,3,0,2022-02-12 22:49:53+00:00
86,"Would be glad to be as good as he is if I get anywhere near 76
#TommyTiernanShow #TommyTiernan",positive,4,0,2022-02-12 22:49:50+00:00
87,Brush Shields “Life….completed it mate” mofo can do everything  #TommyTiernanShow,positive,4,0,2022-02-12 22:49:50+00:00
88,#TommyTiernanShow any sign of Betty https://t.co/0G65tXaltJ,neutral,3,0,2022-02-12 22:49:46+00:00
89,"Brush isnt a bit mad, hes totally eccentric #TommyTiernanShow",positive,7,0,2022-02-12 22:49:43+00:00
90,Can we bring on the dancing priest  #TommyTiernanShow,neutral,1,0,2022-02-12 22:49:28+00:00
91,"Ah Brush Shiels of Skid Row, I hope we get a few bars of ""18 and life"" #TommyTiernanShow",neutral,2,0,2022-02-12 22:49:22+00:00
92,Another all time fav Brushshields. Cannot believe he is 76 😲#TommyTiernanShow,positive,1,0,2022-02-12 22:49:16+00:00
93,The longest alphabet in the world 🤣#TommyTiernanShow,neutral,1,0,2022-02-12 22:49:08+00:00
94,"
Now this total knob … 
As meatloaf said etc etc
#TommyTiernanShow",negative,6,0,2022-02-12 22:48:52+00:00
95,Gwan Brush ! You shallow breathing legend  #TommyTiernanShow,positive,7,0,2022-02-12 22:48:45+00:00
96,Oh dear me..... #TommyTiernanShow,negative,4,0,2022-02-12 22:48:31+00:00
97,"Last week's guests and life stories probably won't be beaten on this series
#TommyTiernanShow #tommytiernan",positive,1,0,2022-02-12 22:48:20+00:00
98,Brush Sheils is fucking great. That is all. #tommytiernanshow,positive,18,1,2022-02-12 22:48:09+00:00
99,"Brush shields hasn't changed a bit , 76? #TommyTiernanShow",neutral,7,1,2022-02-12 22:47:47+00:00
100,"#charlenemckenna on the  #TommyTiernanShow is brilliant @RTEOne. @Tommedian Cé thú fhéin, who are ya? Byre, gosh I haven't that word in decades. Parents were right 'come home' - for some people it is the place where you can be truly yourself. I love the May morning due. https://t.co/Jr6TUWMppL",positive,27,0,2022-02-12 22:46:44+00:00
101,Brush Shiels you look fuckin fantastic. 76.. fuckin hell #TommyTiernanShow,positive,10,0,2022-02-12 22:46:43+00:00
102,"I’ve run out of superlatives for this show. A must watch every week. Tommy a great listener, and Jimmy White, and Charlene McKenna wonderful guests 👏👏👏 #TommyTiernanShow",positive,18,1,2022-02-12 22:46:42+00:00
103,"Jimmy White was my childhood sporting hero, all the way back to the early 80’s. An incredibly absorbing and personal interview on #TommyTiernanShow . Class lads.",positive,79,0,2022-02-12 22:46:42+00:00
104,"Another week to wait and see if it's gonna be Roy Keane that's on, living in hope #TommyTiernanShow",neutral,10,0,2022-02-12 22:46:28+00:00
105,Charlene was brilliant as JoJo in raw #tommytiernanshow,positive,5,0,2022-02-12 22:46:28+00:00
106,Loved Charlene McKenna interview #TommyTiernanShow fabulous actress &amp; ‘mad as a box of frogs’ 😃 v cool 😎 honest &amp; funny,positive,11,0,2022-02-12 22:46:27+00:00
107,"Dee wants us to pay for Dermot Bannon and his weekly #latelate appearances?
#tommytiernan #TommyTiernanShow #latelateshow",neutral,0,0,2022-02-12 22:45:32+00:00
108,I'd say the producer of #TommyTiernanShow gets very few rejections when they ask guests to come on,neutral,23,0,2022-02-12 22:45:22+00:00
109,"Brush!!! 

#TommyTiernanShow",neutral,2,0,2022-02-12 22:45:14+00:00
110,"Brush Shiels is 76 

Lawd above #TommyTiernanShow",neutral,5,0,2022-02-12 22:45:08+00:00
111,"There's no doubt @Tommedian can really do an insightful interview because he’s actually interested in the person he chats to. As much as I'd love to see him host The Late Late Show, really think it would be a waste of his talent as a master storyteller.... #TommyTiernanShow",positive,2,0,2022-02-12 22:45:07+00:00
112,I was expecting Brooke Shields to come out there 🙈🙈 #TommyTiernanShow,neutral,8,1,2022-02-12 22:44:26+00:00
113,Brush Shields!!! This man is such a legend. #TommyTiernanShow,positive,27,0,2022-02-12 22:44:19+00:00
114,"His teeth can't be 76 too?
#TommyTiernanShow #tommytiernan",neutral,1,0,2022-02-12 22:44:10+00:00
115,Brush hasn't changed a bit in 50 years #TommyTiernanShow,positive,5,0,2022-02-12 22:44:06+00:00
116,"So many saying Charlene Mc Kenna drunk or stoned? Don't see why.
#TommyTiernanShow",negative,6,0,2022-02-12 22:44:01+00:00
117,"Finally chatting to @Tommedian tonight is musician Brush Shiels.

#TommyTiernanShow https://t.co/nd2lsYsrAa",neutral,35,2,2022-02-12 22:43:46+00:00
118,The moment @CookeFred said Brush Shields I knew he'd come out dressed the same as #TommyTiernanShow,neutral,4,0,2022-02-12 22:43:41+00:00
119,#TommyTiernanShow has brush broken the land speed record yet,neutral,3,0,2022-02-12 22:43:32+00:00
120,"Often feel like asking the anonymous tweeters here ""but who are yeh?"" #TommyTiernanShow",negative,6,0,2022-02-12 22:43:32+00:00
121,"Jazus .. he didn’t age a day , to be fair...... #TommyTiernanShow",neutral,1,0,2022-02-12 22:43:29+00:00
122,Thisll b craic #brushsheils #TommyTiernanShow,neutral,1,0,2022-02-12 22:43:10+00:00
123,I want to hang out with Charlene McKenna #TommyTiernanShow,positive,4,0,2022-02-12 22:43:09+00:00
124,The Monaghan accent really is something 😂 great interview by Charlene McKenna though  #TommyTiernanShow,positive,5,0,2022-02-12 22:42:57+00:00
125,"This was brilliant,what a great description of anxiety...because Charlene has shared her experience she has just helped so many people who might not even know what their symptoms were.Amazing actress and really real person.👏 #TommyTiernanShow https://t.co/7WvnqICTHX",positive,53,3,2022-02-12 22:42:23+00:00
126,"#TommyTiernanShow Good woman Charlene the Green room wine got a good kicking tonight, great interview #charlenemckenna",positive,6,0,2022-02-12 22:41:16+00:00
127,Ah the #TommyTiernanShow is just necessary Tele. Engrossed!,positive,5,1,2022-02-12 22:40:54+00:00
128,I could have listened to her all night #TommyTiernanShow https://t.co/38v2BW8fyn,positive,53,0,2022-02-12 22:40:54+00:00
129,"Charlene McKenna seeing her interview for the first time tonight because she can't remember doing it.. 
She was pissed #TommyTiernanShow",negative,5,0,2022-02-12 22:39:44+00:00
130,That was a really good interview. Very raw (pardon the pun!). The kind of interview that gets your attention to the point you could hear a pin drop. Fascinating. 👏🏼 #TommyTiernanShow #charlenemckenna,positive,20,0,2022-02-12 22:39:43+00:00
131,Charlene McKenna was lovely in #TommyTiernanShow great craic &amp; talk a lot of sense,positive,36,1,2022-02-12 22:39:26+00:00
132,"#TommyTiernanShow It is funny when Irish sports men talk about mental health the Irish attitude if ""fair play to them aren't they great lads"", but if an Irish artist talks about the exact same topic the attitude is ""who is this mad yoke, what are they on about"".",negative,75,3,2022-02-12 22:38:37+00:00
133,Just love Charlene McKenna. Pure genuine craic Monaghan woman. And a great actress. #TommyTiernanShow,positive,59,2,2022-02-12 22:38:23+00:00
134,Totally different  interview to what we’ve seen before #charlenemckenna #TommyTiernanShow,neutral,6,0,2022-02-12 22:38:06+00:00
135,could men do with being told that we're loved more often? #TommyTiernanShow,neutral,1,0,2022-02-12 22:37:58+00:00
136,What’s your interior life? #TommyTiernanShow,neutral,5,0,2022-02-12 22:37:58+00:00
137,Watching Charlene McKenna on the #TommyTiernanShow and she’s just fierce likeable. “There’s tablets for that” 😂,positive,21,0,2022-02-12 22:37:41+00:00
138,"Oops, Charlene McKenna, not Chloe... Got her name wrong 😳 #TommyTiernanShow gotta keep off the ditches.. 😂",neutral,0,0,2022-02-12 22:37:13+00:00
139,Charlene McKenna is an incredibly awesome soul. What an entertaining interview. #TommyTiernanShow,positive,44,1,2022-02-12 22:36:33+00:00
140,Who are ye ??? 😅😅😅 #TommyTiernanShow,neutral,19,1,2022-02-12 22:36:24+00:00
141,"This is said all the time, I could watch the #TommyTiernanShow all night. He is so great with people.",positive,9,0,2022-02-12 22:36:19+00:00
142,Never normally watch the #TommyTiernanShow but I have to say this Charlene McKenna interview is incredible,positive,32,0,2022-02-12 22:36:12+00:00
143,"Great to see one of my top all time sporting heroes @jimmywhite147 on  #TommyTiernanShow tonight and looking so well 👌 
Made my day",positive,9,1,2022-02-12 22:36:10+00:00
144,"#TommyTiernanShow 
Having that fine person, her experiences and life-lessons on the School Curriculum, instead of half the shite they're filling young Irish heads with, would be a service to the nation.",negative,2,0,2022-02-12 22:36:08+00:00
145,"I'm sure if I'd had as much drink as Charlene McKenna, this would seem like a great interview 😁 #TommyTiernanShow",neutral,9,0,2022-02-12 22:36:05+00:00
146,One thing I learned from living in Monaghan was the brilliant use of the word dose and I think it’s appropriate now... #TommyTiernanShow,negative,8,0,2022-02-12 22:35:59+00:00
147,"Love Charlene McKenna ""it took out"", so Monaghan 😂 #TommyTiernanShow",positive,13,0,2022-02-12 22:35:47+00:00
148,First time I've wanted to switch over from this show #TommyTiernanShow . Suppose we can't blame Tommy.. he didn't know who was coming at him 🙄,negative,5,0,2022-02-12 22:35:44+00:00
149,She's a bit like a young Mrs Doyle #TommyTiernanShow,neutral,1,0,2022-02-12 22:35:09+00:00
150,What the fuck is that one Charlene talking about. It makes no sense  #TommyTiernanShow,negative,8,0,2022-02-12 22:35:06+00:00
151,The ease with which Jimmy White and Tommy Tiernan chatted was just superb. As natural and organic an interview as you'll see. Really enjoyed it. The best programme on RTE by far. #TommyTiernanShow,positive,29,1,2022-02-12 22:34:49+00:00
152,#TommyTiernanShow is she in character?,neutral,4,0,2022-02-12 22:34:34+00:00
153,"Sun, rain, thunder, hailstones, hay...what!
#TommyTiernanShow https://t.co/parWXyKCEu",neutral,7,1,2022-02-12 22:34:12+00:00
154,"@Tommedian, Darragh and Benji #TommyTiernanShow https://t.co/9uDPKIpCym",neutral,6,0,2022-02-12 22:33:54+00:00
155,#TommyTiernanShow I think its only us #Irish will get all this #weather reference's and #analogies obsessed with the #weather we are.  Its raining tomorrow lads just to let ya know.,neutral,2,0,2022-02-12 22:33:53+00:00
156,#TommyTiernanShow charlene..do u like hanging out with yourself??! @CookeFred an awful lot of hay lol,positive,3,0,2022-02-12 22:33:13+00:00
157,An extraordinary interview with the extraordinary Jimmy White bringing back waves of 80s nostalgia #TommyTiernanShow,positive,6,0,2022-02-12 22:33:00+00:00
158,"Just wondering,  did Tommy always have that big Claddagh ring or is it since he interviewed Gabriel Byrne? Only seeing it now #TommyTiernanShow",neutral,8,0,2022-02-12 22:32:59+00:00
159,Wow Charlene McJenna Steamboats #TommyTiernanShow,positive,1,0,2022-02-12 22:32:54+00:00
160,#TommyTiernanShow Imagine the fear tomorrow when she wakes up and realises the show she's after making of herself being pissed/high on live tv,negative,7,0,2022-02-12 22:32:35+00:00
161,This conversation would make a lot more sense to me if I had 10 pints of Guinness on board. #TommyTiernanShow,negative,3,0,2022-02-12 22:31:59+00:00
162,"Am I watchin the weather forecast? Thunder, rain, lightnin, dew (that'd be from Tullamore tonight for sure!)  #TommyTiernanShow",neutral,3,0,2022-02-12 22:31:58+00:00
163,Did Charlene have a few scoops before the show #TommyTiernanShow,neutral,4,0,2022-02-12 22:31:53+00:00
164,"#TommyTiernanShow 
I'm straining to understand this interview https://t.co/EIDnukpKeK",neutral,7,0,2022-02-12 22:31:51+00:00
165,That was a really great #TommyTiernanShow tonight,positive,0,0,2022-02-05 23:16:20+00:00
166,@pkelly1920 @Tommedian Beautiful ❤️…heard similar recently “a calm sea never made a skilled sailor”  so true. Love how he just holds space #TommyTiernanShow,positive,8,1,2022-02-05 23:13:21+00:00
167,"Does other people talking about their mental health help how I'm feeling? 🤔

When other people talk about or have back pain does it change my back pain? 

After the last 2 yrs people don't seem to notice if you are dead or alive. 

#TommyTiernanShow #TommyTiernan",negative,1,0,2022-02-05 23:12:31+00:00
168,@kathysheridanIT @anningle @roisiningle @rte Ah lads! It was brilliant! #TommyTiernanShow,positive,3,0,2022-02-05 23:12:20+00:00
169,The show is fine nothing more than that. #TommyTiernanShow,neutral,3,0,2022-02-05 23:08:37+00:00
170,"@roisiningle your mother is great craic,what a character! Lovely to get to know u better too! #TommyTiernanShow",neutral,1,0,2022-02-05 23:08:35+00:00
171,#TommyTiernanShow Omg what lovely people Roisin and her mam . What an amazing quote                            I don’t look down on rich people any more !       I love it 🤣🤣🤣❤️,positive,3,0,2022-02-05 23:05:57+00:00
172,"Songwriters like Neil Hannon are the reason I tell my grandchildren to enjoy music but also listen to the lyrics of songs and use their discretion to separate the real talent from the boom-boom rubbish. Great song, Neil. Great show, Tommy #TommyTiernanShow",positive,12,0,2022-02-05 23:05:36+00:00
173,Ive seen Brent Pope speak before what a ledge #TommyTiernanShow,positive,0,0,2022-02-05 23:05:22+00:00
174,If you or someone you know has NOT been affected by the issues raised on the #TommyTiernanShow .....your bloody lucky,negative,3,0,2022-02-05 23:02:21+00:00
175,Neil Hannon - what a man  #TommyTiernanShow,positive,2,1,2022-02-05 23:02:15+00:00
176,"In fairness to him, that was a brilliant song! Neil Hannon #TommyTiernanShow",positive,4,1,2022-02-05 23:01:59+00:00
177,"Really enjoyed watching @anningle &amp; @roisiningle, super interview. Thrilled @roisiningle is wearing one of my designs, looking fabulous ❤️#TommyTiernanShow https://t.co/0oRMdSv0BI",positive,155,12,2022-02-05 23:01:44+00:00
178,"Maybe if Ryan Tubridy didn't know which turns were coming on?
#TommyTiernanShow #tommytiernan",neutral,2,0,2022-02-05 23:01:31+00:00
179,@kate_odwyer @Tommedian tonight's show was absolutely fantastic. You never let the viewers down. Neil Hannon was a real treat at the end. Well done. #TommyTiernanShow,positive,6,0,2022-02-05 23:01:17+00:00
180,"Great performance from Neil Hannon from @divinecomedyhq on tonights @Tommedian show on @RTEOne loved the song he sang 😀🎶 
#TommyTiernanShow",positive,5,0,2022-02-05 23:01:10+00:00
181,"The #TommyTiernanShow is the new mass without having to go to church. 

Thank you for the space to talk honestly and so freely.",positive,98,5,2022-02-05 23:00:32+00:00
182,"At these times when we can be seriously overwhelmed with nothing but negative news stories, master storyteller @Tommedian brings a sheer sense of genuine warmth to his interviewing style, that sadly alot of hosts sorely lack. Can't wait for more....... #TommyTiernanShow",positive,5,1,2022-02-05 23:00:24+00:00
183,"Great song. Neil Hannon such a unique original talent. 

#TommyTiernanShow",positive,6,0,2022-02-05 22:59:52+00:00
184,Best mistakes is a catchy tune... 👌#neilhannon #TommyTiernanShow,positive,2,0,2022-02-05 22:59:51+00:00
185,"That was a good song, nice one Neil H, @Tommedian #TommyTiernanShow",positive,1,0,2022-02-05 22:59:34+00:00
186,I am filled with immense disappointment with each #TommyTiernanShow when it comes to an end; simply because I want it to never end. That's the best compliment I can give Tommy and his show. #rte,positive,30,2,2022-02-05 22:59:15+00:00
187,"""Just a field?!"" #TommyTiernanShow https://t.co/oVzUjN2J2D",neutral,11,0,2022-02-05 22:58:47+00:00
188,#TommyTiernanShow I love #NeilHannon,positive,7,0,2022-02-05 22:58:35+00:00
189,"Powerful personal insight and emotional fragility shared by Brent Pope on #TommyTiernanShow 

Thank you Brent and well done again Tommy.",positive,3,0,2022-02-05 22:58:34+00:00
190,@RealBrentPope Well that was very lovely. Thank you. #TommyTiernanShow,positive,0,0,2022-02-05 22:58:18+00:00
191,"Neil Hanon is brilliant both as an artist and a interviewee. His awkwardness is as expected but utterly endearing as is his honesty. Divine comedy will go down as one of best acts from this island, IMO at least. #TommyTiernanShow",positive,46,1,2022-02-05 22:58:18+00:00
192,"When the #TommyTiernanShow ends every week, it's like when your best friend leaves your house after a great night in.",positive,19,1,2022-02-05 22:58:11+00:00
193,No brainer really #TommyTiernanShow,neutral,3,1,2022-02-05 22:57:59+00:00
194,Wow listening to Neil Hannon with my eyes closed is like listening to old school @DavidBowieReal #TommyTiernanShow,positive,10,0,2022-02-05 22:57:11+00:00
195,Can easily imagine Neil as a teenager in his room writing frightening verse to a buck-toothed girl in Luxembourg. #TommyTiernanShow,neutral,4,1,2022-02-05 22:57:00+00:00
